Strain	sys_id	type	subtype	activity	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
PF_EC09	contig_1_circular_DS-22_2	DS-22	DS-22	Defense	contig_1_circular_503	contig_1_circular_503	contig_1_circular_503	1	DS-22__DS-22
PF_EC09	contig_1_circular_dGTPase_10	dGTPase	dGTPase	Defense	contig_1_circular_1144	contig_1_circular_1144	contig_1_circular_1144	1	dGTPase__Sp_dGTPase
PF_EC09	contig_1_circular_Detocs_hydrolase_6	Detocs	Detocs_hydrolase	Defense	contig_1_circular_1151	contig_1_circular_1153	contig_1_circular_1151,contig_1_circular_1152,contig_1_circular_1153	3	Detocs__dtcA,Detocs__dtcB,Detocs__dtcC_hydrolase
PF_EC09	contig_1_circular_MazEF_7	MazEF	MazEF	Defense	contig_1_circular_2586	contig_1_circular_2587	contig_1_circular_2586,contig_1_circular_2587	2	MazEF__MazE,MazEF__MazF
PF_EC09	contig_1_circular_CAS_Class1-Subtype-I-E_17	Cas	CAS_Class1-Subtype-I-E	Defense	contig_1_circular_2608	contig_1_circular_2618	contig_1_circular_2608,contig_1_circular_2609,contig_1_circular_2613,contig_1_circular_2614,contig_1_circular_2615,contig_1_circular_2617,contig_1_circular_2618	7	cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1
PF_EC09	contig_1_circular_RM_Type_I_13	RM	RM_Type_I	Defense	contig_1_circular_2719	contig_1_circular_2721	contig_1_circular_2719,contig_1_circular_2720,contig_1_circular_2721	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
PF_EC09	contig_1_circular_tad2_acriia7_20	Anti_Thoeris	tad2_acriia7	Antidefense	contig_1_circular_3601	contig_1_circular_3601	contig_1_circular_3601	1	tad2
PF_EC09	contig_1_circular_Avs_II_1	Avs	Avs_II	Defense	contig_1_circular_3897	contig_1_circular_3897	contig_1_circular_3897	1	Avs_II__Avs2A
PF_EC09	contig_1_circular_Shedu_9	Shedu	Shedu	Defense	contig_1_circular_3911	contig_1_circular_3911	contig_1_circular_3911	1	Shedu__SduA
PF_EC09	contig_1_circular_Retron_VI_8	Retron	Retron_VI	Defense	contig_1_circular_4411	contig_1_circular_4412	contig_1_circular_4411,contig_1_circular_4412	2	Retron_VI__HTH,Retron__RT_Tot_10
PF_EC09	contig_1_circular_RM_Type_III_14	RM	RM_Type_III	Defense	contig_1_circular_4421	contig_1_circular_4422	contig_1_circular_4421,contig_1_circular_4422	2	RM_Type_III__Type_III_MTases_FAM_0,RM_Type_III__Type_III_REases_FAM_0.einsi_trimmed
PF_EC09	contig_2_RM_Type_IV_15	RM	RM_Type_IV	Defense	contig_2_56	contig_2_57	contig_2_56,contig_2_57	2	RM_Type_IV__FAM_1,RM_Type_IV__Type_IV_01
PF_EC09	contig_2_MazEF_11	MazEF	MazEF	Defense	contig_2_98	contig_2_99	contig_2_98,contig_2_99	2	MazEF__MazE,MazEF__MazF
PF_EC09	contig_4_RM_Type_II_16	RM	RM_Type_II	Defense	contig_4_7	contig_4_8	contig_4_7,contig_4_8	2	RM_Type_II__Type_II_MTases_FAM_8,RM_Type_II__Type_II_REase11
PF_EC10	NODE_1_length_5105783_cov_0.998618_DS-11_1	DS-11	DS-11	Defense	NODE_1_length_5105783_cov_0.998618_39	NODE_1_length_5105783_cov_0.998618_39	NODE_1_length_5105783_cov_0.998618_39	1	DS-11__DS-11
PF_EC10	NODE_1_length_5105783_cov_0.998618_PD-T7-5_4	PD-T7-5	PD-T7-5	Defense	NODE_1_length_5105783_cov_0.998618_40	NODE_1_length_5105783_cov_0.998618_40	NODE_1_length_5105783_cov_0.998618_40	1	PD-T7-5__PD-T7-5
PF_EC10	NODE_1_length_5105783_cov_0.998618_PD-T4-1_3	PD-T4-1	PD-T4-1	Defense	NODE_1_length_5105783_cov_0.998618_47	NODE_1_length_5105783_cov_0.998618_47	NODE_1_length_5105783_cov_0.998618_47	1	PD-T4-1__PD-T4-1
PF_EC10	NODE_1_length_5105783_cov_0.998618_PD-T7-5_5	PD-T7-5	PD-T7-5	Defense	NODE_1_length_5105783_cov_0.998618_62	NODE_1_length_5105783_cov_0.998618_62	NODE_1_length_5105783_cov_0.998618_62	1	PD-T7-5__PD-T7-5
PF_EC10	NODE_1_length_5105783_cov_0.998618_Rst_HelicaseDUF2290_7	Rst_HelicaseDUF2290	Rst_HelicaseDUF2290	Defense	NODE_1_length_5105783_cov_0.998618_194	NODE_1_length_5105783_cov_0.998618_195	NODE_1_length_5105783_cov_0.998618_194,NODE_1_length_5105783_cov_0.998618_195	2	Rst_HelicaseDUF2290__DUF2290_Pers,Rst_HelicaseDUF2290__Helicase
PF_EC10	NODE_1_length_5105783_cov_0.998618_ardb_klca_acric11_17	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1_length_5105783_cov_0.998618_677	NODE_1_length_5105783_cov_0.998618_677	NODE_1_length_5105783_cov_0.998618_677	1	klca
PF_EC10	NODE_1_length_5105783_cov_0.998618_RosmerTA_6	RosmerTA	RosmerTA	Defense	NODE_1_length_5105783_cov_0.998618_1453	NODE_1_length_5105783_cov_0.998618_1454	NODE_1_length_5105783_cov_0.998618_1453,NODE_1_length_5105783_cov_0.998618_1454	2	RosmerTA__RmrA_2585209417,RosmerTA__RmrT_2585209417
PF_EC10	NODE_1_length_5105783_cov_0.998618_gam_20	Anti_RecBCD	gam	Antidefense	NODE_1_length_5105783_cov_0.998618_1630	NODE_1_length_5105783_cov_0.998618_1630	NODE_1_length_5105783_cov_0.998618_1630	1	gam
PF_EC10	NODE_1_length_5105783_cov_0.998618_PD-Lambda-1_2	PD-Lambda-1	PD-Lambda-1	Defense	NODE_1_length_5105783_cov_0.998618_2239	NODE_1_length_5105783_cov_0.998618_2239	NODE_1_length_5105783_cov_0.998618_2239	1	PD-Lambda-1__PD-Lambda-1
PF_EC10	NODE_1_length_5105783_cov_0.998618_gam_21	Anti_RecBCD	gam	Antidefense	NODE_1_length_5105783_cov_0.998618_2249	NODE_1_length_5105783_cov_0.998618_2249	NODE_1_length_5105783_cov_0.998618_2249	1	gam
PF_EC10	NODE_1_length_5105783_cov_0.998618_RM_Type_I_12	RM	RM_Type_I	Defense	NODE_1_length_5105783_cov_0.998618_2887	NODE_1_length_5105783_cov_0.998618_2889	NODE_1_length_5105783_cov_0.998618_2887,NODE_1_length_5105783_cov_0.998618_2888,NODE_1_length_5105783_cov_0.998618_2889	3	RM__Type_I_MTases_FAM_2,RM__Type_I_REases_FAM_2.einsi_trimmed,RM__Type_I_S_52
PF_EC10	NODE_1_length_5105783_cov_0.998618_RM_Type_IV_13	RM	RM_Type_IV	Defense	NODE_1_length_5105783_cov_0.998618_2891	NODE_1_length_5105783_cov_0.998618_2892	NODE_1_length_5105783_cov_0.998618_2891,NODE_1_length_5105783_cov_0.998618_2892	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
PF_EC10	NODE_1_length_5105783_cov_0.998618_ardb_klca_acric11_18	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1_length_5105783_cov_0.998618_2955	NODE_1_length_5105783_cov_0.998618_2955	NODE_1_length_5105783_cov_0.998618_2955	1	klca
PF_EC10	NODE_1_length_5105783_cov_0.998618_SanaTA_8	SanaTA	SanaTA	Defense	NODE_1_length_5105783_cov_0.998618_4321	NODE_1_length_5105783_cov_0.998618_4322	NODE_1_length_5105783_cov_0.998618_4321,NODE_1_length_5105783_cov_0.998618_4322	2	SanaTA__SanaA,SanaTA__SanaT
PF_EC10	NODE_1_length_5105783_cov_0.998618_ardb_klca_acric11_19	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1_length_5105783_cov_0.998618_4331	NODE_1_length_5105783_cov_0.998618_4331	NODE_1_length_5105783_cov_0.998618_4331	1	klca
PF_EC10	NODE_1_length_5105783_cov_0.998618_CAS_Class1-Subtype-I-E_14	Cas	CAS_Class1-Subtype-I-E	Defense	NODE_1_length_5105783_cov_0.998618_4633	NODE_1_length_5105783_cov_0.998618_4640	NODE_1_length_5105783_cov_0.998618_4633,NODE_1_length_5105783_cov_0.998618_4634,NODE_1_length_5105783_cov_0.998618_4635,NODE_1_length_5105783_cov_0.998618_4636,NODE_1_length_5105783_cov_0.998618_4637,NODE_1_length_5105783_cov_0.998618_4638,NODE_1_length_5105783_cov_0.998618_4639,NODE_1_length_5105783_cov_0.998618_4640	8	cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_2
PF_EC10	NODE_3+_length_76697_cov_1.86314_ardb_klca_acric11_22	Anti_RM	ardb_klca_acric11	Antidefense	NODE_3+_length_76697_cov_1.86314_31	NODE_3+_length_76697_cov_1.86314_31	NODE_3+_length_76697_cov_1.86314_31	1	ardb
PF_EC10	NODE_3+_length_76697_cov_1.86314_psiab_23	Other	psiab	Antidefense	NODE_3+_length_76697_cov_1.86314_42	NODE_3+_length_76697_cov_1.86314_43	NODE_3+_length_76697_cov_1.86314_42,NODE_3+_length_76697_cov_1.86314_43	2	psia,psib
PF_EC10	NODE_3+_length_76697_cov_1.86314_Mok_Hok_Sok_10	Mok_Hok_Sok	Mok_Hok_Sok	Defense	NODE_3+_length_76697_cov_1.86314_44	NODE_3+_length_76697_cov_1.86314_44	NODE_3+_length_76697_cov_1.86314_44	1	Mok_Hok_Sok__Mok
PF_EC10	NODE_4+_length_34231_cov_1.20187_AbiD_9	AbiD	AbiD	Defense	NODE_4+_length_34231_cov_1.20187_39	NODE_4+_length_34231_cov_1.20187_39	NODE_4+_length_34231_cov_1.20187_39	1	AbiD__AbiD
PF_EC11	NODE_1+_length_5132816_cov_1_PsyrTA_6	PsyrTA	PsyrTA	Defense	NODE_1+_length_5132816_cov_1_307	NODE_1+_length_5132816_cov_1_308	NODE_1+_length_5132816_cov_1_307,NODE_1+_length_5132816_cov_1_308	2	PsyrTA__PsyrA,PsyrTA__PsyrT
PF_EC11	NODE_1+_length_5132816_cov_1_ardb_klca_acric11_14	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1+_length_5132816_cov_1_795	NODE_1+_length_5132816_cov_1_795	NODE_1+_length_5132816_cov_1_795	1	klca
PF_EC11	NODE_1+_length_5132816_cov_1_MazEF_3	MazEF	MazEF	Defense	NODE_1+_length_5132816_cov_1_1067	NODE_1+_length_5132816_cov_1_1068	NODE_1+_length_5132816_cov_1_1067,NODE_1+_length_5132816_cov_1_1068	2	MazEF__MazE,MazEF__MazF
PF_EC11	NODE_1+_length_5132816_cov_1_CAS_Class1-Subtype-I-E_10	Cas	CAS_Class1-Subtype-I-E	Defense	NODE_1+_length_5132816_cov_1_1090	NODE_1+_length_5132816_cov_1_1097	NODE_1+_length_5132816_cov_1_1090,NODE_1+_length_5132816_cov_1_1091,NODE_1+_length_5132816_cov_1_1092,NODE_1+_length_5132816_cov_1_1093,NODE_1+_length_5132816_cov_1_1094,NODE_1+_length_5132816_cov_1_1095,NODE_1+_length_5132816_cov_1_1096,NODE_1+_length_5132816_cov_1_1097	8	cas1_I-E_1,cas2_I-E_2,cas3_I_5,cas5_I-E_3,cas6e_I_II_III_IV_V_VI_1,cas7_I-E_2,cas8e_I-E_1,cse2gr11_I-E_1
PF_EC11	NODE_1+_length_5132816_cov_1_Septu_7	Septu	Septu	Defense	NODE_1+_length_5132816_cov_1_1458	NODE_1+_length_5132816_cov_1_1459	NODE_1+_length_5132816_cov_1_1458,NODE_1+_length_5132816_cov_1_1459	2	Septu__PtuA,Septu__PtuB
PF_EC11	NODE_1+_length_5132816_cov_1_abc2_13	Anti_RecBCD	abc2	Antidefense	NODE_1+_length_5132816_cov_1_1783	NODE_1+_length_5132816_cov_1_1783	NODE_1+_length_5132816_cov_1_1783	1	abc2
PF_EC11	NODE_1+_length_5132816_cov_1_ardb_klca_acric11_15	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1+_length_5132816_cov_1_1846	NODE_1+_length_5132816_cov_1_1846	NODE_1+_length_5132816_cov_1_1846	1	klca
PF_EC11	NODE_1+_length_5132816_cov_1_RM_Type_I_9	RM	RM_Type_I	Defense	NODE_1+_length_5132816_cov_1_1997	NODE_1+_length_5132816_cov_1_2001	NODE_1+_length_5132816_cov_1_1997,NODE_1+_length_5132816_cov_1_1998,NODE_1+_length_5132816_cov_1_2001	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_04
PF_EC11	NODE_1+_length_5132816_cov_1_DS-3_2	DS-3	DS-3	Defense	NODE_1+_length_5132816_cov_1_2347	NODE_1+_length_5132816_cov_1_2347	NODE_1+_length_5132816_cov_1_2347	1	DS-3__DS-3
PF_EC11	NODE_1+_length_5132816_cov_1_PD-T4-7_5	PD-T4-7	PD-T4-7	Defense	NODE_1+_length_5132816_cov_1_3131	NODE_1+_length_5132816_cov_1_3131	NODE_1+_length_5132816_cov_1_3131	1	PD-T4-7__PD-T4-7
PF_EC11	NODE_1+_length_5132816_cov_1_PD-Lambda-1_4	PD-Lambda-1	PD-Lambda-1	Defense	NODE_1+_length_5132816_cov_1_3143	NODE_1+_length_5132816_cov_1_3143	NODE_1+_length_5132816_cov_1_3143	1	PD-Lambda-1__PD-Lambda-1
PF_EC11	NODE_1+_length_5132816_cov_1_gam_17	Anti_RecBCD	gam	Antidefense	NODE_1+_length_5132816_cov_1_3494	NODE_1+_length_5132816_cov_1_3494	NODE_1+_length_5132816_cov_1_3494	1	gam
PF_EC11	NODE_1+_length_5132816_cov_1_ardb_klca_acric11_16	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1+_length_5132816_cov_1_4079	NODE_1+_length_5132816_cov_1_4079	NODE_1+_length_5132816_cov_1_4079	1	klca
PF_EC11	NODE_1+_length_5132816_cov_1_Avs_IV_1	Avs	Avs_IV	Defense	NODE_1+_length_5132816_cov_1_4345	NODE_1+_length_5132816_cov_1_4345	NODE_1+_length_5132816_cov_1_4345	1	Avs_IV__Avs4A
PF_EC11	NODE_19+_length_106442_cov_13_ulx_21	Anti_RM	ulx	Antidefense	NODE_19+_length_106442_cov_13_10	NODE_19+_length_106442_cov_13_10	NODE_19+_length_106442_cov_13_10	1	ulx
PF_EC11	NODE_19+_length_106442_cov_13_dar_ddr_hdf_ulx_18	Anti_RM	dar_ddr_hdf_ulx	Antidefense	NODE_19+_length_106442_cov_13_155	NODE_19+_length_106442_cov_13_156	NODE_19+_length_106442_cov_13_155,NODE_19+_length_106442_cov_13_156	2	dara,ddra
PF_EC11	NODE_19+_length_106442_cov_13_tad2_acriia7_20	Anti_Thoeris	tad2_acriia7	Antidefense	NODE_19+_length_106442_cov_13_166	NODE_19+_length_106442_cov_13_166	NODE_19+_length_106442_cov_13_166	1	acriia7
PF_EC12	NODE_1+_length_5116136_cov_1_AbiP2_2	AbiP2	AbiP2	Defense	NODE_1+_length_5116136_cov_1_3	NODE_1+_length_5116136_cov_1_3	NODE_1+_length_5116136_cov_1_3	1	AbiP2__AbiP2
PF_EC12	NODE_1+_length_5116136_cov_1_Retron_IV_8	Retron	Retron_IV	Defense	NODE_1+_length_5116136_cov_1_5	NODE_1+_length_5116136_cov_1_6	NODE_1+_length_5116136_cov_1_5,NODE_1+_length_5116136_cov_1_6	2	Retron_IV__2TM,Retron__RT_Tot_8
PF_EC12	NODE_1+_length_5116136_cov_1_gam_25	Anti_RecBCD	gam	Antidefense	NODE_1+_length_5116136_cov_1_302	NODE_1+_length_5116136_cov_1_302	NODE_1+_length_5116136_cov_1_302	1	gam
PF_EC12	NODE_1+_length_5116136_cov_1_Retron_I_C_9	Retron	Retron_I_C	Defense	NODE_1+_length_5116136_cov_1_402	NODE_1+_length_5116136_cov_1_402	NODE_1+_length_5116136_cov_1_402	1	Retron_I_C__RT_1_C1
PF_EC12	NODE_1+_length_5116136_cov_1_Lamassu-Mrr_5	Lamassu-Fam	Lamassu-Mrr	Defense	NODE_1+_length_5116136_cov_1_404	NODE_1+_length_5116136_cov_1_406	NODE_1+_length_5116136_cov_1_404,NODE_1+_length_5116136_cov_1_405,NODE_1+_length_5116136_cov_1_406	3	Lamassu-Fam__LmuA_effector_Mrr,Lamassu-Fam__LmuB_SMC_Mrr,Lamassu-Fam__LmuC_acc_Mrr
PF_EC12	NODE_1+_length_5116136_cov_1_ardb_klca_acric11_21	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1+_length_5116136_cov_1_1267	NODE_1+_length_5116136_cov_1_1267	NODE_1+_length_5116136_cov_1_1267	1	klca
PF_EC12	NODE_1+_length_5116136_cov_1_ardb_klca_acric11_22	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1+_length_5116136_cov_1_2225	NODE_1+_length_5116136_cov_1_2225	NODE_1+_length_5116136_cov_1_2225	1	klca
PF_EC12	NODE_1+_length_5116136_cov_1_SanaTA_10	SanaTA	SanaTA	Defense	NODE_1+_length_5116136_cov_1_2234	NODE_1+_length_5116136_cov_1_2235	NODE_1+_length_5116136_cov_1_2234,NODE_1+_length_5116136_cov_1_2235	2	SanaTA__SanaA,SanaTA__SanaT
PF_EC12	NODE_1+_length_5116136_cov_1_PsyrTA_7	PsyrTA	PsyrTA	Defense	NODE_1+_length_5116136_cov_1_2722	NODE_1+_length_5116136_cov_1_2723	NODE_1+_length_5116136_cov_1_2722,NODE_1+_length_5116136_cov_1_2723	2	PsyrTA__PsyrA,PsyrTA__PsyrT
PF_EC12	NODE_1+_length_5116136_cov_1_BREX_I_4	BREX	BREX_I	Defense	NODE_1+_length_5116136_cov_1_2969	NODE_1+_length_5116136_cov_1_2974	NODE_1+_length_5116136_cov_1_2969,NODE_1+_length_5116136_cov_1_2970,NODE_1+_length_5116136_cov_1_2971,NODE_1+_length_5116136_cov_1_2972,NODE_1+_length_5116136_cov_1_2973,NODE_1+_length_5116136_cov_1_2974	6	BREX__brxA_DUF1819,BREX__brxB_DUF1788,BREX__brxC,BREX__brxL,BREX__pglX1,BREX__pglZA
PF_EC12	NODE_1+_length_5116136_cov_1_ardb_klca_acric11_23	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1+_length_5116136_cov_1_3016	NODE_1+_length_5116136_cov_1_3016	NODE_1+_length_5116136_cov_1_3016	1	klca
PF_EC12	NODE_1+_length_5116136_cov_1_UG17_11	All_UG	UG17	Defense	NODE_1+_length_5116136_cov_1_3462	NODE_1+_length_5116136_cov_1_3463	NODE_1+_length_5116136_cov_1_3462,NODE_1+_length_5116136_cov_1_3463	2	AbiA_small__SLATT,UG17__UG17
PF_EC12	NODE_1+_length_5116136_cov_1_MazEF_6	MazEF	MazEF	Defense	NODE_1+_length_5116136_cov_1_3679	NODE_1+_length_5116136_cov_1_3680	NODE_1+_length_5116136_cov_1_3679,NODE_1+_length_5116136_cov_1_3680	2	MazEF__MazE,MazEF__MazF
PF_EC12	NODE_1+_length_5116136_cov_1_ardb_klca_acric11_24	Anti_RM	ardb_klca_acric11	Antidefense	NODE_1+_length_5116136_cov_1_3740	NODE_1+_length_5116136_cov_1_3740	NODE_1+_length_5116136_cov_1_3740	1	klca
PF_EC12	NODE_1+_length_5116136_cov_1_RM_Type_II_19	RM	RM_Type_II	Defense	NODE_1+_length_5116136_cov_1_3751	NODE_1+_length_5116136_cov_1_3753	NODE_1+_length_5116136_cov_1_3751,NODE_1+_length_5116136_cov_1_3752,NODE_1+_length_5116136_cov_1_3753	3	RM_Type_II__Type_II_MTases_FAM_0,RM_Type_II__Type_II_MTases_FAM_33,RM_Type_II__Type_II_REase37
PF_EC12	NODE_1+_length_5116136_cov_1_RM_Type_IV_20	RM	RM_Type_IV	Defense	NODE_1+_length_5116136_cov_1_3754	NODE_1+_length_5116136_cov_1_3755	NODE_1+_length_5116136_cov_1_3754,NODE_1+_length_5116136_cov_1_3755	2	RM_Type_IV__FAM_1,RM_Type_IV__FAM_2
PF_EC12	NODE_1+_length_5116136_cov_1_RM_Type_I_17	RM	RM_Type_I	Defense	NODE_1+_length_5116136_cov_1_3816	NODE_1+_length_5116136_cov_1_3818	NODE_1+_length_5116136_cov_1_3816,NODE_1+_length_5116136_cov_1_3817,NODE_1+_length_5116136_cov_1_3818	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
PF_EC12	NODE_1+_length_5116136_cov_1_RM_Type_I_18	RM	RM_Type_I	Defense	NODE_1+_length_5116136_cov_1_4160	NODE_1+_length_5116136_cov_1_4162	NODE_1+_length_5116136_cov_1_4160,NODE_1+_length_5116136_cov_1_4161,NODE_1+_length_5116136_cov_1_4162	3	RM__Type_I_MTases_FAM_0,RM__Type_I_REases_FAM_0.einsi_trimmed,RM__Type_I_S_06
PF_EC12	NODE_1+_length_5116136_cov_1_AbiE_1	AbiE	AbiE	Defense	NODE_1+_length_5116136_cov_1_4163	NODE_1+_length_5116136_cov_1_4164	NODE_1+_length_5116136_cov_1_4163,NODE_1+_length_5116136_cov_1_4164	2	AbiEii__AbiEi_3,AbiEii__AbiEii
PF_EC12	NODE_12_3_9+_length_92198_cov_0.542996_arda_ardu_28	Anti_RM	arda_ardu	Antidefense	NODE_12_3_9+_length_92198_cov_0.542996_44	NODE_12_3_9+_length_92198_cov_0.542996_44	NODE_12_3_9+_length_92198_cov_0.542996_44	1	arda
PF_EC12	NODE_12_3_9+_length_92198_cov_0.542996_psiab_30	Other	psiab	Antidefense	NODE_12_3_9+_length_92198_cov_0.542996_46	NODE_12_3_9+_length_92198_cov_0.542996_47	NODE_12_3_9+_length_92198_cov_0.542996_46,NODE_12_3_9+_length_92198_cov_0.542996_47	2	psia,psib
PF_EC12	NODE_12_3_9+_length_92198_cov_0.542996_ardb_klca_acric11_29	Anti_RM	ardb_klca_acric11	Antidefense	NODE_12_3_9+_length_92198_cov_0.542996_54	NODE_12_3_9+_length_92198_cov_0.542996_54	NODE_12_3_9+_length_92198_cov_0.542996_54	1	ardb
PF_EC12	NODE_11_2+_length_123452_cov_1.19969_Gao_Tmn_13	Gao_Tmn	Gao_Tmn	Defense	NODE_11_2+_length_123452_cov_1.19969_38	NODE_11_2+_length_123452_cov_1.19969_38	NODE_11_2+_length_123452_cov_1.19969_38	1	Gao_Tmn__TmnA
PF_EC12	NODE_11_2+_length_123452_cov_1.19969_DS-28_12	DS-28	DS-28	Defense	NODE_11_2+_length_123452_cov_1.19969_41	NODE_11_2+_length_123452_cov_1.19969_42	NODE_11_2+_length_123452_cov_1.19969_41,NODE_11_2+_length_123452_cov_1.19969_42	2	DS-28__DS-28A,DS-28__DS-28B
PF_EC12	NODE_11_2+_length_123452_cov_1.19969_ardb_klca_acric11_26	Anti_RM	ardb_klca_acric11	Antidefense	NODE_11_2+_length_123452_cov_1.19969_60	NODE_11_2+_length_123452_cov_1.19969_60	NODE_11_2+_length_123452_cov_1.19969_60	1	ardb
PF_EC12	NODE_11_2+_length_123452_cov_1.19969_psiab_27	Other	psiab	Antidefense	NODE_11_2+_length_123452_cov_1.19969_71	NODE_11_2+_length_123452_cov_1.19969_72	NODE_11_2+_length_123452_cov_1.19969_71,NODE_11_2+_length_123452_cov_1.19969_72	2	psia,psib
PF_EC12	NODE_11_2+_length_123452_cov_1.19969_MazEF_14	MazEF	MazEF	Defense	NODE_11_2+_length_123452_cov_1.19969_122	NODE_11_2+_length_123452_cov_1.19969_123	NODE_11_2+_length_123452_cov_1.19969_122,NODE_11_2+_length_123452_cov_1.19969_123	2	MazEF__MazE,MazEF__MazF
PF_EC13	1_ardb_klca_acric11_26	Anti_RM	ardb_klca_acric11	Antidefense	1_786	1_786	1_786	1	klca
PF_EC13	1_Mokosh_Type_I_A_6	Mokosh	Mokosh_Type_I_A	Defense	1_806	1_807	1_806,1_807	2	Mokosh_type_I__MkoA_A,Mokosh_type_I__MkoB_A
PF_EC13	1_MazEF_4	MazEF	MazEF	Defense	1_1050	1_1051	1_1050,1_1051	2	MazEF__MazE,MazEF__MazF
PF_EC13	1_SDIC3_8	SDIC3	SDIC3	Defense	1_1181	1_1185	1_1181,1_1182,1_1185	3	SDIC3__SDIC3C,SDIC3__SDIC3E,SDIC3__SDIC3F
PF_EC13	1_abc2_25	Anti_RecBCD	abc2	Antidefense	1_1431	1_1431	1_1431	1	abc2
PF_EC13	1_ral_30	Anti_RM	ral	Antidefense	1_1440	1_1440	1_1440	1	ral
PF_EC13	1_ardb_klca_acric11_27	Anti_RM	ardb_klca_acric11	Antidefense	1_1832	1_1832	1_1832	1	klca
PF_EC13	1_CBASS_I_2	CBASS	CBASS_I	Defense	1_1884	1_1885	1_1884,1_1885	2	CBASS__2TM_Gros,CBASS__Cyclase_SMODS
PF_EC13	1_RosmerTA_7	RosmerTA	RosmerTA	Defense	1_2563	1_2564	1_2563,1_2564	2	RosmerTA__RmrA_2623274509,RosmerTA__RmrT_2623274509
PF_EC13	1_ral_31	Anti_RM	ral	Antidefense	1_2743	1_2743	1_2743	1	ral
PF_EC13	1_gam_29	Anti_RecBCD	gam	Antidefense	1_2747	1_2747	1_2747	1	gam
PF_EC13	1_CAS_Class1-Subtype-I-F_19	Cas	CAS_Class1-Subtype-I-F	Defense	1_2988	1_2994	1_2988,1_2989,1_2990,1_2992,1_2993,1_2994	6	cas1_I-F_1,cas3f_I-F_1,cas5f_I-F_3,cas6f_I_II_III_IV_V_VI_3,cas7f_I-F_2,cas8f_I-F_4
PF_EC13	1_ardb_klca_acric11_28	Anti_RM	ardb_klca_acric11	Antidefense	1_4036	1_4036	1_4036	1	klca
PF_EC13	1_Dpd_3	Dpd	Dpd	Defense	1_4073	1_4084	1_4073,1_4074,1_4075,1_4076,1_4077,1_4078,1_4079,1_4080,1_4081,1_4082,1_4083,1_4084	12	Dpd__DpdA,Dpd__DpdB,Dpd__DpdC,Dpd__DpdD,Dpd__DpdE,Dpd__DpdF,Dpd__DpdG,Dpd__DpdH,Dpd__DpdI,Dpd__DpdJ,Dpd__DpdK,Dpd__QueD
PF_EC13	2_MazEF_11	MazEF	MazEF	Defense	2_36	2_37	2_36,2_37	2	MazEF__MazE,MazEF__MazF
PF_EC13	2_psiab_22	Other	psiab	Antidefense	2_65	2_66	2_65,2_66	2	psia,psib
PF_EC13	2_Mok_Hok_Sok_13	Mok_Hok_Sok	Mok_Hok_Sok	Defense	2_68	2_68	2_68	1	Mok_Hok_Sok__Hok
PF_EC13	2_Gao_Tmn_10	Gao_Tmn	Gao_Tmn	Defense	2_91	2_91	2_91	1	Gao_Tmn__TmnA
PF_EC13	2_DS-28_9	DS-28	DS-28	Defense	2_94	2_95	2_94,2_95	2	DS-28__DS-28A,DS-28__DS-28B
PF_EC13	2_MazEF_12	MazEF	MazEF	Defense	2_142	2_143	2_142,2_143	2	MazEF__MazE,MazEF__MazF
PF_EC13	3_CBASS_I_15	CBASS	CBASS_I	Defense	3_69	3_70	3_69,3_70	2	CBASS__Cyclase_II,CBASS__Effector_4TM_S_4TM
PF_EC13	3_ardb_klca_acric11_23	Anti_RM	ardb_klca_acric11	Antidefense	3_96	3_96	3_96	1	ardb
PF_EC13	3_psiab_24	Other	psiab	Antidefense	3_107	3_108	3_107,3_108	2	psia,psib
PF_EC13	3_RM_Type_I_18	RM	RM_Type_I	Defense	3_146	3_147	3_146,3_147	2	RM__Type_I_MTases_FAM_1,RM__Type_I_REases_FAM_2.einsi_trimmed
PF_EC13	3_Gao_Ppl_16	Gao_Ppl	Gao_Ppl	Defense	3_148	3_148	3_148	1	Gao_Ppl__PplA
